Geo_id	European Descent	African Descent	Asian	Hispanic/Latino	Other	Multi-Racial	NA	American Indian	Pacific ISlander	Unknown	Native American	Raw Data	sample size	Platform type	SRA ID	SRA Present	Recount3	ARCHS4	European Descent	European Ancestry	African Ancestry	African Descent	Tissue	Disease	series_type	Illumina	Affymetrix	series_title	series_submission_date
GSE101929	33	33										1	66	Affymetrix Human Genome U133 Plus 2.0 Array					yes	33	33	yes	Lung	Lung cancer	Expression profiling by array		1	Gene expression data from African Americans and European Americans with non-small cell lung cancer	Jul 26 2017
GSE102088	79	32			3							1	114	Affymetrix Human Transcriptome Array 2.0					yes	79	32	yes	Breast cells	Cancer	Expression profiling by array		1	Expression data from normal breast tissues	Jul 31 2017
GSE102741	32	20										1	52	Illumina HiSeq 2000	SRP115571	1	1	1	yes	32	20	yes	Postmortem brain tissue	Autism	Expression profiling by high throughput sequencing	1		RiboZero Gold paired-end RNA-seq data from postmortem tissue of the dorsolateral prefrontal cortex of autism spectrum disorder samples and healthy control samples	Aug 16 2017
GSE104131	16	16										1	32	Illumina HiSeq 2500	SRP118614	1	1	1	yes	16	16	yes	Prostate tissue	Prostate cancer	Expression profiling by high throughput sequencing	1		RNA sequencing of prostate cancer and normal tissue from African Americans and European Americans	Sep 22 2017
GSE107361	74	14	3	8	2	4			3			1	108	Affymetrix Human Genome U133 Plus 2.0 Array					yes	74	14	yes	Skin	Dermatitis	Expression profiling by array		1	Early-onset pediatric atopic dermatitis is characterized by Th2/Th17/Th22- centered inflammation and lipid alterations	Nov 27 2017
GSE109278	20	16	8									1	44	Affymetrix Human Gene 2.0 ST Array					yes	20	16	yes	Liver	HCV	Expression profiling by array		1	Baseline Intrahepatic and Peripheral Innate Immune Responses are Associated with Hepatitis C Virus Eradication in Patients Receiving Direct Acting Antivirals	Jan 16 2018
GSE112057	141	49					12					1	202	Illumina HiSeq 2000	SRP136057	1	1	1	yes	141	49	yes	Blood	Idiopathic arthritis and bowel disease	Expression profiling by high throughput sequencing	1		Whole Blood Transcriptome Profiling in Juvenile Idiopathic Arthritis and Inflammatory Bowel Disease	Mar 20 2018
GSE112073	30	12				2		1				1	45	Affymetrix Human Gene 1.0 ST Array					yes	30	12	yes	Bronchial epithelial cell	NA	Expression profiling by array		1	Gene Expression Alterations in Bronchial Epithelium of Electronic Cigarette Users	Mar 20 2018
GSE112660	152	67					79					1	298	Affymetrix Human Genome U219 Array					yes	152	67	yes	Epidermis	NA	Expression profiling by array		1	The effect of circadian rhythm on gene expression in human skin	Apr 04 2018
GSE113004	154	14		2								1	170	Affymetrix HT HG-U133+ PM Array Plate					yes	154	14	yes	Blood	RRMS (relapsing remitting multiple sclerosis)	Expression profiling by array		1	Expression data from whole blood of RRMS patients initiating treatment with intramuscular IFN-β1a (Avonex®) obtained immediately prior to treatment.	Apr 11 2018
GSE113006	153	14		2								1	169	Affymetrix HT HG-U133+ PM Array Plate					yes	153	14	yes	Blood	RRMS (relapsing remitting multiple sclerosis)	Expression profiling by array		1	Expression data from whole blood of RRMS patients initiating treatment with intramuscular IFN-β1a (Avonex®) obtained exactly 12 hours after treatment.	Apr 11 2018
GSE116753	53	65		67								1	185	Illumina HiSeq 2500	SRP152577	1	0	1	yes	53	65	yes	pancreatic islet	NA	Expression profiling by high throughput sequencing	1		PyMINEr Finds Gene and Autocrine/Paracrine Networks from Human Islet scRNAseq	Jul 06 2018
GSE117468	540	10			10	5						1	565	Affymetrix Human Genome U133 Plus 2.0 Array					yes	540	10	yes	Skin cells	Psoriasis	Expression profiling by array		1	Lesional and non-lesional skin gene-expression profiles from Phase-3 clinical trials of Brodalumab	Jul 22 2018
GSE11877	126	13	7	51	4			3	1	2		1	207	Affymetrix Human Genome U133 Plus 2.0 Array					yes	126	13	yes	NA	Acute lymphoblastic leukemia	Expression profiling by array		1	Children''s Oncology Group Study 9906 for High-Risk Pediatric ALL	Jun 24 2008
GSE11908	117	83	10		5	7	249					1	471	Affymetrix Human Genome U133A Array					yes	117	83	yes	Blood	NA	Expression profiling by array		1	Construction of a modular analysis framework for blood Genomics Studies	Jun 26 2008
GSE121827	177	45										1	222	Illumina HiSeq 2500	SRP166898	1	1	1	yes	177	45	yes	PMBC	NA	Expression profiling by high throughput sequencing	1		RNA_seq analysis on Tfh and Treg before and after abatacept treatment	Oct 25 2018
GSE12288	185	29	2	2	1						3	1	222	Affymetrix Human Genome U133A Array					yes	185	29	yes	Blood	Coronary artery disease	Expression profiling by array		1	Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease	Jul 30 2008
GSE12585	11	12										1	23	Affymetrix Human Genome U133A Array					yes	11	12	yes	Lymphocytes	NA	Expression profiling by array		1	Expression data from healthy smokers	Aug 27 2008
GSE130588	132	23	29		4		20					1	208	Affymetrix Human Genome U133 Plus 2.0 Array					yes	129	23	yes	Skin	Atopic Dermatitis	Expression profiling by array		1	Dupilumab progressively improves systemic and cutaneous abnormalities in patients with atopic dermatitis	May 01 2019
GSE130928	32	43		13								1	88	Affymetrix Human Genome U133 Plus 2.0 Array					yes	32	43	yes	Alveolar macrophages	Chronic Obstructive Pulmonary Disease	Expression profiling by array		1	Alveolar macrophage immunometabolism and lung function impairment in smoking and chronic obstructive pulmonary disease	May 08 2019
GSE136757	74	10	17						4			1	105	Affymetrix Human Genome U133 Plus 2.0 Array					yes	38	10	yes	Lesional skin	Plaque Psoriasis	Expression profiling by array		1	Molecular and Cellular Responses to the TYK2/JAK1 Inhibitor, PF 06700841, Reveal Reduction of Skin Inflammation in Plaque Psoriasis	Sep 03 2019
GSE137291	20	20										1	40	Affymetrix Human Clariom D Assay					yes	20	20	yes	Lung	Lung Carcinoma	Expression profiling by array		1	RNA splicing and aggregate gene expression differences between lung squamous cell carcinoma from patients of West African and European ancestry	Sep 11 2019
GSE137344	48	135	5	5		2						1	195	NextSeq 550	SRP221484	1	0	1	yes	48	135	yes	Ileum	Bowel Disease	Expression profiling by high throughput sequencing	1		Ileum Transcriptomic Profiling in Inflammatory Bowel Disease	Sep 12 2019
GSE142731	19	23										1	42	Illumina HiSeq 2500	SRP239077	1	0	1	yes	19	23	yes	Breast cells	Breast Cancer	Expression profiling by high throughput sequencing	1		Transcriptome profiling of tumors from Caucasian and African American triple negative breast cancer (TNBC) patients.	Dec 30 2019
GSE146071	37	34										1	71	Illumina HiSeq 2500	SRP251118	1	0	1	yes	37	34	yes	Mononuclear cells	NA	Expression profiling by high throughput sequencing	1		A Resource of Gene Expression Data from a Multiethnic Population Cohort of Induced Pluripotent Cell–Derived Cardiomyocytes	Feb 27 2020
GSE149050	207	16	26		1	6	31		1			1	288	Illumina HiSeq 2500	SRP257773	1	0	1	yes	137	16	yes	Immune cells	Systemic lupus erythematosus	Expression profiling by high throughput sequencing	1		Multi-cell type gene co-expression network analysis reveals coordinated interferon response and cross cell-type correlations in systemic lupus erythematosus	Apr 21 2020
GSE151243	24	12			2							1	40	Illumina HiSeq 3000	SRP264895	1	0	1	yes	26	12	yes	Skin	Hidradenitis suppurativa	Expression profiling by high throughput sequencing	1		A Hidradenitis Suppurativa Molecular Disease Signature Derived from Patient Samples by High-Throughput RNA Sequencing	May 27 2020
GSE158952	60	59										1	119	Illumina HiSeq 4000 Illumina HiSeq 2500	SRP286203	1	0	1	yes	60	59	yes	Rectum & Ileum	Bowel Disease	Expression profiling by high throughput sequencing	1		Transcriptome Profiling of Rectal and Ileal Tissues in Inflammatory Bowel Disease	Oct 02 2020
GSE16008	36	25		12								1	73	Affymetrix Human Exon 1.0 ST Array					yes	36	25	yes	Bronchial epithelial cell	NA	Expression profiling by array		1	Gene expression from bronchial and nasal epithelial cell samples of healthy current and never smokers.	May 07 2009
GSE160521	156	21										1	177	Illumina NextSeq 500	SRP290185	1	0	1	yes	156	21	yes	Striatum	NA	Expression profiling by high throughput sequencing	1		Diurnal rhythms across the human dorsal and ventral striatum	Oct 30 2020
GSE16129	34	50		31	4							1	126	Affymetrix Human Genome U133A Array					yes	41	50	yes	Blood	Staphylococcus aureus	Expression profiling by array		1	Enhanced Monocyte Response & Decreased Central Memory T Cells in Children with Invasive Staphylococcus aureus Infections	May 15 2009
GSE16716	176	29	18	42		3	1075					1	1343	Affymetrix Human Genome U133A Array					yes	176	29	yes	Bone marrow, Breast cells	Myeloma, Breast Cancer	Expression profiling by array		1	MicroArray Quality Control Phase II (MAQC-II) Project	Jun 19 2009
GSE167923	20	34	1	4	3							1	62	Illumina NovaSeq 6000	SRP308658	1	0	1	yes	20	34	yes	skin	Cutaneous Lupus	Expression profiling by high throughput sequencing	1		Modular gene analysis reveal distinct molecular signatures for cutaneous lupus patient subsets	Mar 01 2021
GSE169038	556	596										1	1152	Affymetrix Human Exon 1.0 ST Array					yes	556	596	yes	prostate tumor cells	prostate cancer	Expression profiling by array		1	Comparative Analysis of 1,152 African-American and European-American Men with Prostate Cancer Identifies Distinct Genomic and Immunological Differences	Mar 16 2021
GSE17025	78	20	1	1			1	2				1	103	Affymetrix Human Genome U133 Plus 2.0 Array					yes	78	20	yes	endometrium cell	endometrial cancer	Expression profiling by array		1	Gene Expression Analysis of Stage I Endometrial Cancers	Jul 09 2009
GSE173343	40	15		6		7						1	68	Illumina HiSeq 2500	SRP316393	1	0	1	yes	40	15	yes	Kidney	Kidney disease	Expression profiling by high throughput sequencing	1		Mapping the genetic architecture of human traits to cell types in the kidney identifies mechanisms of disease and potential treatments [RNA-seq]	Apr 26 2021
GSE18123	201	14	7		15	25	23					1	285	Affymetrix Human Genome U133 Plus 2.0 Array					yes	187	13	yes	Blood	Autism Spectrum Disorder	Expression profiling by array		1	Blood gene expression signatures distinguish autism spectrum disorders from controls	Sep 15 2009
GSE19151	95	31	1	4	1	1						1	133	Affymetrix Human Genome U133A 2.0 Array					yes	95	26	yes	Blood	Venous thromboembolism	Expression profiling by array		1	Whole Blood Gene Expression Profiles Distinguish Patients with Single versus Recurrent Venous Thromboembolism	Nov 23 2009
GSE19301	603	60	22									1	685	Affymetrix Human Genome U133A Array					yes	603	60	yes	PMBC	Asthma	Expression profiling by array		1	Gene Expression Patterns in Peripheral Blood Mononuclear Cells Associated with Asthma Exacerbation Attack	Dec 03 2009
GSE19697	14	10										1	24	Affymetrix Human Genome U133 Plus 2.0 Array					yes	14	10	yes	breast cells	Breast Cancer	Expression profiling by array		1	An expression profile that predicts the therapeutic response of the basal-like breast cancer to neoadjuvant chemotherapy	Dec 29 2009
GSE20194	176	29	18	42		3	10					1	278	Affymetrix Human Genome U133A Array					yes	176	29	yes	breast cancer cells	Breast Cancer	Expression profiling by array		1	MAQC-II Project: human breast cancer (BR) data set	Feb 04 2010
GSE20271	81	13	1	83								1	178	Affymetrix Human Genome U133A Array					yes	81	13	yes	breast cancer cells	Breast Cancer	Expression profiling by array		1	Expression data from breast cancer FNA biopsies from patients	Feb 10 2010
GSE209954	113	113										1	226	Affymetrix Human Exon 1.0 ST Array					yes	113	113	yes	prostate cells	Prostate cancer	Expression profiling by array		1	Genomic testing in early localized prostate cancer may define subsets of African Americans with aggressive disease—a prospective study	Jul 28 2022
GSE224705	249	142	21		16		20					1	448	Affymetrix HT HG-U133+ PM Array Plate					yes	70	38	yes	NA	Lupus nephritis	Expression profiling by array		1	Defining molecular and cellular landscape behind non-response to Mycophenolate Mofetil in Systemic Lupus Erythematosus	Feb 07 2023
GSE22688	17	21										1	38	Affymetrix Human Genome U133A Array					yes	17	21	yes	Endothelial cells	Vascular Disease	Expression profiling by array		1	Differential endothelial cell gene expression by African Americans versus Caucasian Americans: A possible contribution to health disparity in vascular disease and cancer	Jul 02 2010
GSE24185	77	16	10									1	103	Affymetrix Human Genome U133A Array					yes	77	16	yes	Breast cells	Breast Cancer	Expression profiling by array		1	Gene transcription signature of obesity in breast cancer	Sep 17 2010
GSE33070	11	15										1	26	Affymetrix Human Gene 1.0 ST Array					yes	11	15	yes	Adipose tissue	NA	Expression profiling by array		1	Adipose tissue gene expression associated with weight gain in kidney transplant recipients	Oct 19 2011
GSE33341	47	38	6				3					1	321	Affymetrix Mouse Genome 430 2.0 Array, Affymetrix Human Genome U133A 2.0 Array					yes	47	38	yes	Blood	Staphylococcus aureus	Expression profiling by array		1	Gene Expression-Based Classifiers Identify Staphylococcus aureus Infection in Mice and Humans	Oct 31 2011
GSE34788	96	24										1	120	Affymetrix Human Gene 1.0 ST Array					yes	32	24	yes	Blood	NA	Expression profiling by array		1	Genomic signatures of a global fitness index in a multi-ethnic cohort of women	Dec 29 2011
GSE37751	55	53										1	108	Affymetrix Human Gene 1.0 ST Array					yes	55	53	yes	Breast cell	Breast Cancer	Expression profiling by array		1	Molecular Profiles of Human Breast Cancer and Their Association with Tumor Subtypes and Disease Prognosis (Affymetrix)	May 03 2012
GSE37912	37	37										1	74	Affymetrix Human Exon 1.0 ST Array					yes	37	37	yes	PBMC	Sarcoidosis	Expression profiling by array		1	Peripheral blood gene expression as a novel genomic biomarker in complicated sarcoidosis	May 10 2012
GSE38958	85	17	1	6			6					1	115	Affymetrix Human Genome U133 Plus 2.0 Array					yes	85	17	yes	PBMC	Idiopathic pulmonary fibrosis	Expression profiling by array		1	Profiling of Gene Expression in Idiopathic Pulmonary Fibrosis	Jun 27 2012
GSE44270	14	18										1	32	Affymetrix Human Gene 1.0 ST Array					yes	14	18	yes	Skin & Scar Tissue	NA	Expression profiling by array		1	Keratinocyte and fibroblast gene expression in skin and keloid scar tissue	Feb 12 2013
GSE48278	100	12	1									1	114	Affymetrix Human Genome U133 Plus 2.0 Array					yes	100	12	yes	Vastus lateralis	NA	Expression profiling by array		1	Skeletal muscle gene expression changes with exercise mode, duration and intensity: STRRIDE study	Jun 25 2013
GSE49081	41	12										1	53	Affymetrix Human Exon 1.0 ST Array					yes	41	12	yes	PBMC	NA	Expression profiling by array		1	MicroRNAs Implicated in Dysregulation of Gene Expression Following Human Lung Transplantation	Jul 22 2013
GSE49921	84	70										1	154	Affymetrix Human Gene 1.0 ST Array					yes	84	70	yes	Platelet	NA	Expression profiling by array		1	Racial Difference in Human Platelet PAR4 Reactivity Reflects Expression of PCTP and miR-376c	Aug 15 2013
GSE53166	70	21	22									1	113	Affymetrix Human Gene 1.0 ST Array					yes	70	21	yes	Dendritic cell	Influenza	Expression profiling by array		1	Expression data measured by microarray of monocyte-derived dendritic cells from healthy individuals stimulated with LPS, influenza, or left unstimulated	Dec 10 2013
GSE53987	185	20										1	205	Affymetrix Human Genome U133 Plus 2.0 Array					yes	185	20	yes	Brain tissue	Schizophrenia	Expression profiling by array		1	Microarray profiling of PFC, HPC and STR from subjects with schizophrenia, bipolar, MDD or control	Jan 10 2014
GSE54460	48	22					36					1	106	Illumina HiSeq 2000	SRP036848	1	1	1	yes	48	22	yes	Prostate cancer tissue	Prostate cancer	Expression profiling by high throughput sequencing	1		RNAseq Analysis of Formalin-Fixed Paraffin-Embedded Prostate Cancer Tissues	Jan 28 2014
GSE59630	71	43		2								1	116	Affymetrix Human Exon 1.0 ST Array					yes	71	43	yes	Brain	Down Syndrome	Expression profiling by array		1	Longitudinal Gene Expression Analysis in Human Brain identifies biological processes underlying neuropathology in Down Syndrome	Jul 21 2014
GSE60235	30	25	15			5						1	75	Affymetrix Human Gene 1.0 ST Array					yes	30	25	yes	Blood	NA	Expression profiling by array		1	Expression data measured by microarray of CD4+ T cells from healthy individuals stimulated with anti-CD3/CD28	Aug 08 2014
